arm,metric,value,unit
clock_read,median,20.8540,ns
clock_read,minimum,19.5346,ns
clock_read,p99,25.8779,ns
clock_read,disp,0.28,percent
record_sample,median,0.1457,ns
record_sample,minimum,0.1455,ns
record_sample,p99,1.2511,ns
record_sample,disp,0.28,percent
per_op_floor,p50,20.0,ns
per_op_floor,p99,21.0,ns
per_op_floor,p999,21.0,ns
per_op_floor,maximum,2365,ns
per_op_floor,samples,10000,count
per_op_floor,discarded,0,count
per_op_floor,highest_supported,0.9990,percentile
parameters,samples,25,count
parameters,rounds,200000,count
parameters,clock_period,1.0000,ns
