arm,metric,value,unit
clock_read,median,16.7984,ns
clock_read,minimum,16.0542,ns
clock_read,p99,18.0683,ns
clock_read,disp,4.39,percent
record_sample,median,0.1227,ns
record_sample,minimum,0.1224,ns
record_sample,p99,1.1941,ns
record_sample,disp,0.17,percent
per_op_floor,p50,20.0,ns
per_op_floor,p99,21.0,ns
per_op_floor,p999,21.0,ns
per_op_floor,maximum,21,ns
per_op_floor,samples,10000,count
per_op_floor,discarded,0,count
per_op_floor,highest_supported,0.9990,percentile
parameters,samples,25,count
parameters,rounds,200000,count
parameters,clock_period,1.0000,ns
